,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2025-11-06,0.6203397402093733,-0.2029812455647159,-0.047226425090660114,0.4865829487034081,-0.019116851418980205,1.2605351067768307,1.0159749146725574,0.9303985446866802,0.3401748001536091
2025-11-07,0.7257300450158484,-0.38320137698873996,-0.15711129295144421,0.5597945599715365,-0.1357064674323954,1.203580976116969,0.9104073591049685,0.8341318128887409,0.30056330502362344
2025-11-10,1.0405728918898278,0.02734196252475406,0.2689943508045151,0.9439060096198056,0.28319370830157636,1.5947211430721528,1.2737387289804734,1.2034431463743864,0.4703951920081829
2025-11-11,1.3937253150078792,0.2700306755751852,0.6194241448751072,1.3753115772975797,0.6143234165236222,1.7991657024750658,1.4147620471076368,1.3820068594179258,0.7732151093260835
2025-11-12,1.1650249120577252,-0.41550263444601776,0.2709544554884625,1.1325249484583058,0.24950366125651877,1.5027057675287754,1.061696241984503,1.0185684745298518,0.20902713900137956
2025-11-13,1.3763046999486999,-0.14457337491979488,0.5260106534378035,1.3816108636946338,0.5009115392427009,1.6891703295384877,1.2018325097438254,1.1806807603075964,0.5307914122700923
2025-11-14,1.3480626413278003,-0.11282305341112478,0.5907678089311738,1.399060338765707,0.5697381536680762,1.6364627844646749,1.1412701731521386,1.1312510212856273,0.4770394598444453
2025-11-17,1.1697493502971728,-0.09688115611789418,0.6345833507735511,1.32676403904986,0.6246254609464069,1.514297845632438,1.0296892203024712,1.0289736812692214,0.21173345884211187
2025-11-18,0.9839200607173327,-0.20144373338211355,0.502043895976871,1.1668712485727772,0.49221984264203084,1.3698160890710356,0.9373122543011858,0.9279519582952982,0.15815566246851612
2025-11-19,1.1964124777353813,-0.06912603417047716,0.6275834855054723,1.3414512243831482,0.6149326871644379,1.6294345582895042,1.2046567970367805,1.1918684538704716,0.3544038446857125
2025-11-20,1.4364484981378767,0.17971598560071136,0.8726692512482378,1.5826846162835138,0.8540609641292345,1.9745061162470643,1.5338964628663947,1.534414837283989,0.7312504032739735
